open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1761961800000000,3843.51000000,3846.55000000,3843.51000000,3845.52000000,484.95720000,1761962099999999,1864556.45253000,5035,346.35870000,1331691.19882800,0
1761962100000000,3845.53000000,3846.52000000,3843.54000000,3844.17000000,122.28010000,1761962399999999,470164.72130200,3164,37.09220000,142601.47599800,0
1761962400000000,3844.16000000,3846.47000000,3839.63000000,3839.75000000,699.63370000,1761962699999999,2688829.82618400,8730,364.41520000,1400671.30047200,0
1761962700000000,3839.74000000,3841.37000000,3836.67000000,3836.96000000,529.40950000,1761962999999999,2032171.84825600,5732,243.51300000,934772.81291400,0
1761963000000000,3836.96000000,3839.28000000,3836.95000000,3839.27000000,303.07930000,1761963299999999,1163244.74671000,3214,156.06890000,598974.67453200,0
1761963300000000,3839.28000000,3847.87000000,3839.28000000,3847.06000000,940.14160000,1761963599999999,3614270.62706900,7281,675.36250000,2595652.70137400,0
1761963600000000,3847.07000000,3848.00000000,3845.26000000,3845.73000000,171.33290000,1761963899999999,659109.82804400,4552,89.54260000,344447.34343500,0
1761963900000000,3845.73000000,3848.60000000,3845.73000000,3847.30000000,217.64850000,1761964199999999,837311.80623300,4083,118.21300000,454733.73311000,0
1761964200000000,3847.30000000,3847.99000000,3840.78000000,3841.43000000,295.45430000,1761964499999999,1135947.89451000,7645,68.62560000,263892.85629800,0
1761964500000000,3841.43000000,3843.36000000,3838.96000000,3843.35000000,351.25290000,1761964799999999,1349060.25600200,5230,63.70700000,244672.90449500,0
1761964800000000,3843.35000000,3846.78000000,3842.77000000,3846.48000000,245.55220000,1761965099999999,944267.37579000,5161,127.05970000,488604.96051000,0
1761965100000000,3846.49000000,3851.74000000,3846.49000000,3850.02000000,431.37640000,1761965399999999,1660743.36839000,6765,292.74180000,1126903.02042100,0
1761965400000000,3850.01000000,3855.02000000,3850.01000000,3855.02000000,338.60180000,1761965699999999,1304594.42858100,5615,227.70400000,877326.02820400,0
1761965700000000,3855.02000000,3855.02000000,3852.24000000,3852.26000000,401.54820000,1761965999999999,1547518.57435800,4139,89.65470000,345481.91663200,0
1761966000000000,3852.27000000,3855.83000000,3852.26000000,3855.83000000,332.89560000,1761966299999999,1283013.06333600,4555,277.62310000,1069976.39100800,0
1761966300000000,3855.82000000,3857.51000000,3852.87000000,3852.87000000,343.32690000,1761966599999999,1323928.55223200,5820,181.55790000,700208.85035200,0
1761966600000000,3852.86000000,3853.38000000,3851.52000000,3852.88000000,458.19110000,1761966899999999,1765083.36232100,3948,83.18390000,320437.48313400,0
1761966900000000,3852.88000000,3859.10000000,3851.53000000,3857.67000000,416.14380000,1761967199999999,1604728.85807100,8815,310.79990000,1198605.49880100,0
1761967200000000,3857.66000000,3857.67000000,3852.26000000,3855.51000000,477.61500000,1761967499999999,1841378.57260200,8722,242.48570000,934864.21431600,0
1761967500000000,3855.50000000,3858.11000000,3854.54000000,3856.49000000,267.99650000,1761967799999999,1033421.49862500,6696,140.36120000,541218.02592900,0
1761967800000000,3856.49000000,3859.88000000,3854.95000000,3859.87000000,445.70020000,1761968099999999,1719003.78447800,5679,395.37450000,1524881.61400700,0
1761968100000000,3859.88000000,3860.12000000,3857.61000000,3858.62000000,250.62370000,1761968399999999,967123.39315200,4448,97.66430000,376862.31243600,0
1761968400000000,3858.62000000,3864.43000000,3858.62000000,3859.44000000,844.72870000,1761968699999999,3261907.75200600,11350,435.01210000,1679557.92163900,0
