open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
1766690040000000,88188.69000000,88188.69000000,88183.81000000,88183.81000000,0.27017000,1766690099999999,23825.32679580,286,0.06417000,5658.83077610,0
1766690100000000,88183.81000000,88183.82000000,88183.81000000,88183.82000000,0.61426000,1766690159999999,54167.78823170,202,0.11011000,9709.92042020,0
1766690160000000,88183.81000000,88183.82000000,88183.81000000,88183.82000000,0.42906000,1766690219999999,37836.14643180,189,0.09132000,8052.94644240,0
1766690220000000,88183.81000000,88183.82000000,88151.29000000,88151.29000000,1.19800000,1766690279999999,105635.92626980,1316,0.25937000,22872.20697500,0
1766690280000000,88151.29000000,88151.30000000,88100.00000000,88100.00000000,3.04474000,1766690339999999,268310.49965570,1831,0.16816000,14820.76837900,0
1766690340000000,88100.00000000,88116.88000000,88100.00000000,88116.88000000,2.26112000,1766690399999999,199224.57393200,893,1.71922000,151476.07145940,0
1766690400000000,88116.87000000,88140.00000000,88116.87000000,88117.30000000,1.60333000,1766690459999999,141306.77682130,1351,0.39930000,35189.37956650,0
1766690460000000,88117.31000000,88117.31000000,88117.30000000,88117.31000000,0.92458000,1766690519999999,81471.49886570,223,0.56317000,49625.02547270,0
1766690520000000,88117.31000000,88117.31000000,88077.14000000,88077.14000000,2.10968000,1766690579999999,185854.85560460,2036,0.09865000,8691.84115040,0
1766690580000000,88077.15000000,88092.96000000,88077.14000000,88092.96000000,3.24456000,1766690639999999,285796.29326840,907,1.61808000,142529.09391520,0
1766690640000000,88092.96000000,88092.96000000,88092.95000000,88092.96000000,0.44623000,1766690699999999,39309.71815160,112,0.10731000,9453.25553760,0
1766690700000000,88092.95000000,88095.76000000,88092.95000000,88095.75000000,3.30659000,1766690759999999,291293.88414580,356,2.97581000,262153.74746640,0
1766690760000000,88095.75000000,88137.01000000,88095.75000000,88137.00000000,8.08377000,1766690819999999,712293.65696610,643,7.86469000,692991.85318610,0
1766690820000000,88137.01000000,88137.01000000,88105.08000000,88105.08000000,0.86412000,1766690879999999,76151.93067180,1198,0.03672000,3235.81124740,0
1766690880000000,88105.09000000,88114.23000000,88100.00000000,88114.22000000,2.67160000,1766690939999999,235371.90003220,576,2.43006000,214092.06519280,0
1766690940000000,88114.22000000,88114.23000000,88114.22000000,88114.22000000,0.42404000,1766690999999999,37363.95662380,88,0.27750000,24451.69882500,0
1766691000000000,88114.23000000,88114.23000000,88114.22000000,88114.22000000,0.62767000,1766691059999999,55306.65499290,201,0.25255000,22253.24878650,0
1766691060000000,88114.22000000,88114.23000000,88075.99000000,88075.99000000,9.33722000,1766691119999999,822570.06622550,752,0.25580000,22537.15030120,0
1766691120000000,88076.00000000,88101.36000000,88075.99000000,88101.36000000,1.35761000,1766691179999999,119582.08213210,904,1.21449000,106975.31251190,0
1766691180000000,88101.35000000,88101.36000000,88092.69000000,88092.69000000,0.87451000,1766691239999999,77040.46448640,313,0.26647000,23474.09736160,0
1766691240000000,88092.69000000,88101.49000000,88092.69000000,88101.49000000,0.92663000,1766691299999999,81631.20459050,406,0.88930000,78342.40297580,0
1766691300000000,88101.49000000,88119.18000000,88101.48000000,88119.18000000,0.82606000,1766691359999999,72786.37615650,548,0.49606000,43707.33543860,0
1766691360000000,88119.17000000,88119.18000000,88114.58000000,88114.58000000,0.44539000,1766691419999999,39246.31998420,423,0.07974000,7026.32702750,0
1766691420000000,88114.59000000,88114.59000000,88114.58000000,88114.58000000,0.29999000,1766691479999999,26433.49376900,108,0.09148000,8060.72269320,0
1766691480000000,88114.58000000,88114.59000000,88100.98000000,88100.98000000,5.29317000,1766691539999999,466399.33811350,620,0.10117000,8914.38122750,0
1766691540000000,88100.98000000,88100.99000000,88096.58000000,88096.58000000,5.67341000,1766691599999999,499824.83699380,485,0.25787000,22717.94712210,0
1766691600000000,88096.59000000,88119.18000000,88096.58000000,88119.17000000,0.90427000,1766691659999999,79666.29191100,1249,0.71569000,63052.15473900,0
1766691660000000,88119.17000000,88144.54000000,88119.17000000,88144.53000000,1.59387000,1766691719999999,140474.92951490,1445,1.30799000,115280.80302180,0
1766691720000000,88144.54000000,88144.54000000,88144.53000000,88144.53000000,0.35494000,1766691779999999,31286.02116470,82,0.16865000,14865.57667100,0
1766691780000000,88144.53000000,88158.83000000,88144.53000000,88152.05000000,3.03979000,1766691839999999,267966.78138420,758,1.19864000,105658.01628060,0
1766691840000000,88152.05000000,88152.05000000,88140.13000000,88140.14000000,0.82581000,1766691899999999,72796.07490540,590,0.13649000,12031.86985060,0
1766691900000000,88140.13000000,88140.14000000,88121.19000000,88121.20000000,0.55396000,1766691959999999,48818.33167620,980,0.14137000,12457.88476980,0
1766691960000000,88121.19000000,88121.20000000,88113.43000000,88113.44000000,0.59959000,1766692019999999,52833.77605530,449,0.17946000,15812.95760160,0
1766692020000000,88113.44000000,88113.44000000,88104.63000000,88104.63000000,0.38810000,1766692079999999,34194.37398750,268,0.12078000,10641.30024320,0
1766692080000000,88104.63000000,88113.45000000,88104.63000000,88113.45000000,1.48918000,1766692139999999,131211.09588750,438,0.41181000,36284.91034260,0
1766692140000000,88113.44000000,88122.15000000,88113.44000000,88122.14000000,1.72098000,1766692199999999,151641.76673380,349,1.26491000,111455.86020740,0
1766692200000000,88122.14000000,88126.00000000,88122.14000000,88126.00000000,0.51829000,1766692259999999,45674.46606570,260,0.22197000,19561.19581640,0
1766692260000000,88125.99000000,88126.00000000,88123.77000000,88123.78000000,0.57959000,1766692319999999,51076.34925310,500,0.09230000,8133.83335520,0
